UNITID,SATVRMID,SATMTMID
156222,NULL,NULL
156231,NULL,NULL
156277,NULL,NULL
156286,570,560
156295,535,550
156310,NULL,NULL
156338,NULL,NULL
156356,NULL,NULL
156365,507,505
156392,NULL,NULL
156408,635,655
156417,NULL,NULL
156426,NULL,NULL
156471,NULL,NULL
156541,510,510
156620,520,525
156648,NULL,NULL
156727,NULL,NULL
156745,NULL,NULL
156754,NULL,NULL
156790,NULL,NULL
156842,NULL,NULL
156851,NULL,NULL
156860,NULL,NULL
156921,NULL,NULL
156967,NULL,NULL
157021,NULL,NULL
157030,NULL,NULL
157058,459,484
157076,520,500
157085,605,600
157100,510,515
157207,NULL,NULL
157216,NULL,NULL
157270,NULL,NULL
157289,590,590
157298,NULL,NULL
157304,NULL,NULL
157331,NULL,NULL
157377,560,530
157386,448,498
157401,515,570
157438,NULL,NULL
157447,557,545
157465,NULL,NULL
157483,NULL,NULL
157535,480,490
157553,NULL,NULL
157599,NULL,NULL
157614,NULL,NULL
157650,NULL,NULL
157669,NULL,NULL
157678,NULL,NULL
157711,NULL,NULL
157739,NULL,NULL
157748,580,525
157757,538,515
157766,NULL,NULL
157793,NULL,NULL
157809,515,520
157818,NULL,NULL
157827,NULL,NULL
157863,NULL,NULL
157951,550,525
158088,NULL,NULL
158246,NULL,NULL
158325,NULL,NULL
158343,NULL,NULL
158431,NULL,NULL
158440,NULL,NULL
158477,560,560
158538,NULL,NULL
158617,NULL,NULL
158644,NULL,NULL
158662,NULL,NULL
158723,NULL,NULL
158778,NULL,NULL
158787,NULL,NULL
158802,430,480
158884,NULL,NULL
159009,NULL,NULL
159027,NULL,NULL
159197,NULL,NULL
159319,NULL,NULL
159328,NULL,NULL
159373,NULL,NULL
159382,490,465
159391,585,590
159407,NULL,NULL
159416,510,521
159513,NULL,NULL
159522,NULL,NULL
159531,NULL,NULL
159568,595,570
159601,NULL,NULL
159647,490,495
159656,605,570
159717,520,600
159939,580,560
159948,NULL,NULL
159966,540,540
159993,475,485
160010,NULL,NULL
160029,NULL,NULL
160038,500,505
160065,NULL,NULL
160074,NULL,NULL
160117,NULL,NULL
160126,NULL,NULL
160135,NULL,NULL
160199,NULL,NULL
160320,NULL,NULL
160409,NULL,NULL
